Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,15
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Чернівецька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Чернівецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Чечельницька,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Чечельницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Шаргородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,10
Вінницька,Мурафська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Мурафська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,9
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Тростянецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Гайсинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Краснопільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Вендичанська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
