Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Івано-Франківська,Переріслянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Запорізька,Пологівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Радсадівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Рокитнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Сватівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Чернігівська,Сосницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Хмельницька,Старокостянтинівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Івано-Франківська,Тисменицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Івано-Франківська,Тлумацька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Калитянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Полтавська,Омельницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Руськополянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Закарпатська,Великоберезнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Херсонська,Великоолександрівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
